_id,name,address,moodKeywords
65ad3d6d5a419523bb3583cf,소노야 강남역점,서울 강남구 강남대로 396 지하 1층 28호 (6번출구 내려와서 바로 왼쪽),"['서민적인', '아담한']"
65ad3d6d5a419523bb3583d0,대동집 강남역점,서울 강남구 봉은사로18길 88,"['캐주얼한', '시끌벅적한']"
65ad3d6d5a419523bb3583d1,라공방 강남역점,서울 강남구 테헤란로1길 25,"['서민적인', '푸짐한']"
65ad3d6e5a419523bb3583d2,유가네닭갈비 강남역점,서울 강남구 강남대로 438 214호,"['캐주얼한', '서민적인']"
65ad3d6e5a419523bb3583d3,아이해브어드림 강남역 본점,서울 강남구 테헤란로5길 7 KG Tower 지하1층 아이해브어드림,"['예쁜', '고급스러운']"
65ad3d6e5a419523bb3583d5,이태리부대찌개 강남역점,서울 강남구 테헤란로4길 40 신소애빌딩 2층,"['시끌벅적한', '서민적인']"
65ad3d6e5a419523bb3583d8,달래해장 강남역플래티넘점,서울 강남구 강남대로78길 14 1층,"['캐주얼한', '시끌벅적한']"
65ad3d6e5a419523bb3583d9,투뿔등심 강남점,서울 강남구 테헤란로4길 6 센트럴 푸르지오시티 2층,['고급스러운']
65ad3d6e5a419523bb3583da,그린브로스샐러드 강남역점,서울 강남구 테헤란로 123 여삼빌딩 지하1층 주방6호(역삼동),"['서민적인', '캐주얼한']"
65ad3d6e5a419523bb3583db,오레노유메 강남역점,"서울 강남구 역삼로3길 17-4 2, 3층","['이국적/이색적', '고급스러운']"
65ad3d6e5a419523bb3583de,오레노카츠 강남역점,서울 강남구 강남대로78길 16 2층,"['시끌벅적한', '서민적인']"
65ad3d6e5a419523bb3583e6,고씨네 강남역본점,서울 강남구 테헤란로1길 16 1층,"['서민적인', '캐주얼한']"
65ad3d6e5a419523bb3583ea,슬로우캘리 강남역점,서울 강남구 강남대로66길 14 강남역 와이즈플레이스 1층 109호,"['가성비좋은', '캐주얼한']"
65ad3d6e5a419523bb3583eb,생활맥주 강남역점,서울 강남구 강남대로78길 18 1층,['시끌벅적한']
65ad3d6e5a419523bb3583ed,로봇김밥 강남역점,서울 강남구 테헤란로 101 이즈타워,"['캐주얼한', '서민적인']"
65ad3d6e5a419523bb3583f0,핵밥 강남역점,서울 강남구 강남대로84길 16,"['서민적인', '깔끔한']"
65ad3d725a419523bb3583f4,인쌩맥주 강남역2호점,서울 강남구 테헤란로1길 28-5 지하1층,"['시끌벅적한', '서민적인']"
65ad3d725a419523bb3583f6,홍콩반점0410 강남역점,서울 강남구 테헤란로4길 27 2층,"['캐주얼한', '서민적인']"
65ad3d725a419523bb3583fa,라무진 강남역점,서울 강남구 테헤란로6길 26 1층 라무진 강남역점,"['고급스러운', '시끌벅적한']"
65ad3d735a419523bb3583fc,파리바게뜨 강남역점,서울 강남구 강남대로 428 만이빌딩,"['캐주얼한', '깔끔한']"
65ad3d735a419523bb3583fe,미소야 강남역1호점,서울 강남구 테헤란로4길 33,"['캐주얼한', '서민적인']"
65ad3d735a419523bb3583ff,공차 강남글라스점,서울 강남구 강남대로 406 글라스타워 2층,"['캐주얼한', '시끌벅적한']"
65ad3d735a419523bb358400,돌깨마을맷돌순두부 강남역점,"서울 강남구 테헤란로4길 6 센트럴푸르지오시티 B227호,B228호","['캐주얼한', '서민적인']"
65ad3d735a419523bb358407,스타벅스 강남역신분당역사점,서울 강남구 강남대로 396,"['예쁜', '깔끔한']"
65ad3d735a419523bb35840d,김가네 강남역점,서울 강남구 강남대로94길 27 1층,"['서민적인', '캐주얼한']"
65ad3d735a419523bb358416,꾸이한끼 강남역점,서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 제지1층 제비상가 102호,['깔끔한']
65ad3d735a419523bb358417,미사리밀빛초계국수 강남역점,서울 강남구 역삼로 109 B05호 지하1층 미사리밀빛초계국수 강남역점,"['서민적인', '캐주얼한']"
65ad3d735a419523bb35841b,BGT호두단팥빵 강남역점,서울 강남구 강남대로 396 지하 29호,"['서민적인', '가성비좋은']"
65ad3d735a419523bb35841f,자연식빵 강남역점,서울 강남구 강남대로 396 강남역지하상가 신분당선35호,"['서민적인', '고급스러운']"
65ad3d735a419523bb358424,매머드커피 강남역점,서울 강남구 테헤란로4길 6,"['서민적인', '캐주얼한']"
65ad3d735a419523bb358425,옹헤야불백 강남역1번출구점,서울 강남구 강남대로84길 15 효성해링턴타워105호,"['서민적인', '가성비좋은']"
65ad3d775a419523bb358429,호랑이돈까스 강남역점,서울 강남구 테헤란로 123 여삼빌딩 지하1층 16호,['푸짐한']
65ad3d775a419523bb35842b,썬더볼드 강남역점,서울 강남구 강남대로84길 15 지하1층,"['숨은맛집', '캐주얼한']"
